Height Pressure Rho
2.205176e+04 2.744343e+03 7.106410e-02
2.212426e+04 2.694204e+03 7.008222e-02
2.219643e+04 2.644980e+03 6.911415e-02
2.226827e+04 2.596656e+03 6.815967e-02
2.233979e+04 2.549215e+03 6.721859e-02
2.241098e+04 2.502640e+03 6.629073e-02
2.248185e+04 2.456916e+03 6.537590e-02
2.255240e+04 2.412028e+03 6.447390e-02
2.262264e+04 2.367960e+03 6.358455e-02
2.269255e+04 2.324697e+03 6.270768e-02
2.276214e+04 2.282224e+03 6.184310e-02
2.283142e+04 2.240528e+03 6.099063e-02
2.290038e+04 2.199593e+03 6.015012e-02
2.296903e+04 2.159406e+03 5.932137e-02
2.303736e+04 2.119953e+03 5.850423e-02
2.310539e+04 2.081222e+03 5.769854e-02
2.317310e+04 2.043197e+03 5.690411e-02
2.324051e+04 2.005868e+03 5.612081e-02
2.330760e+04 1.969220e+03 5.534846e-02
2.337439e+04 1.933242e+03 5.458691e-02
2.344088e+04 1.897922e+03 5.383601e-02
2.350706e+04 1.863246e+03 5.309561e-02
2.357293e+04 1.829205e+03 5.236555e-02
2.363851e+04 1.795785e+03 5.164569e-02
2.370378e+04 1.762975e+03 5.093588e-02
2.376875e+04 1.730766e+03 5.023598e-02
2.383343e+04 1.699144e+03 4.954585e-02
2.389781e+04 1.668101e+03 4.886535e-02
2.396189e+04 1.637624e+03 4.819435e-02
2.402568e+04 1.607704e+03 4.753270e-02
2.408917e+04 1.578331e+03 4.688028e-02
2.415237e+04 1.549495e+03 4.623695e-02
2.421528e+04 1.521186e+03 4.560259e-02
2.427790e+04 1.493393e+03 4.497706e-02
2.434023e+04 1.466109e+03 4.436025e-02
2.440227e+04 1.439323e+03 4.375203e-02
2.446402e+04 1.413026e+03 4.315227e-02
2.452549e+04 1.387210e+03 4.256087e-02
2.458667e+04 1.361865e+03 4.197768e-02
2.464757e+04 1.336984e+03 4.140262e-02
2.470819e+04 1.312557e+03 4.083555e-02
2.476853e+04 1.288576e+03 4.027636e-02
2.482859e+04 1.265034e+03 3.972495e-02
2.488837e+04 1.241921e+03 3.918119e-02
2.494787e+04 1.219231e+03 3.864500e-02
2.500709e+04 1.196956e+03 3.811625e-02
2.506604e+04 1.175087e+03 3.759484e-02
2.512471e+04 1.153618e+03 3.708067e-02
2.518311e+04 1.132541e+03 3.657364e-02
2.524124e+04 1.111850e+03 3.607364e-02
2.529910e+04 1.091536e+03 3.558058e-02
2.535668e+04 1.071593e+03 3.509435e-02
2.541400e+04 1.052015e+03 3.461487e-02
2.547105e+04 1.032795e+03 3.414204e-02
2.552784e+04 1.013925e+03 3.367575e-02
2.558435e+04 9.954008e+02 3.321593e-02
2.564061e+04 9.772147e+02 3.276248e-02
2.569660e+04 9.593608e+02 3.231531e-02
2.575232e+04 9.418332e+02 3.187433e-02
2.580779e+04 9.246257e+02 3.143945e-02
2.586300e+04 9.077327e+02 3.101059e-02
2.591794e+04 8.911482e+02 3.058766e-02
